Name,Location,Reviews,Rating(out of 5),URL
Eagle View Lodge - Master Bedroom,Kigali,26.0,4.96,www.airbnb.com/rooms/48312189?previous_page_section_name=1000
Eagle View Lodge: self contained studio,Kigali,6.0,5.0,www.airbnb.com/rooms/50603291?previous_page_section_name=1000
99 Apartment (Ntare),Kigali,22.0,4.91,www.airbnb.com/rooms/49498855?previous_page_section_name=1000
Comfy apartment - office & breakfast in Kimihurura,Kigali,13.0,4.69,www.airbnb.com/rooms/47259892?previous_page_section_name=1000
Private Room @Ebony Apartment BGL2,Kigali,,,www.airbnb.com/rooms/53437805?previous_page_section_name=1000
Homely,Kigali,16.0,4.94,www.airbnb.com/rooms/49523675?previous_page_section_name=1000
Cosy and lovely 3bedrooms appartment,Kigali,,,www.airbnb.com/rooms/52910857?previous_page_section_name=1000
Modern 2 bedrooms  apartment with stunning view,Kigali,6.0,5.0,www.airbnb.com/rooms/52448445?previous_page_section_name=1000
Private Room in Kigali,Kigali,3.0,5.0,www.airbnb.com/rooms/52771947?previous_page_section_name=1000
"Explorers Paradise at Lake Kivu, Kibuye",Kibuye,59.0,5.0,www.airbnb.com/rooms/38546833?previous_page_section_name=1000
99 Apartment (Juru),Kigali,5.0,5.0,www.airbnb.com/rooms/50210756?previous_page_section_name=1000
Studio with poolview balcony at Peponi Kagugu,Kigali,16.0,4.94,www.airbnb.com/rooms/45856608?previous_page_section_name=1000
Amasimbi Apartment - 5 mins to Airport,Kigali,87.0,4.91,www.airbnb.com/rooms/24559066?previous_page_section_name=1000
J&A house,Runda,,,www.airbnb.com/rooms/53393199?previous_page_section_name=1000
LOFT 647: Brand new studio with large terrace (B3),Kigali,6.0,4.83,www.airbnb.com/rooms/44770366?previous_page_section_name=1000
Entire 3 Bedroom Spacious Home near Kigali Airport,Kigali,35.0,4.97,www.airbnb.com/rooms/34307963?previous_page_section_name=1000
Private room with en suite bathroom in cosy house,Kigali,10.0,4.8,www.airbnb.com/rooms/48594849?previous_page_section_name=1000
2-bedroom rental unit with parking on premises,Kigali,,,www.airbnb.com/rooms/53076493?previous_page_section_name=1000
Lys Residence at Rebero Hill-Kigali,Kigali,,,www.airbnb.com/rooms/52750047?previous_page_section_name=1000
"The Swan, beauty and tranquility at The Storyland",Kigali,20.0,4.55,www.airbnb.com/rooms/41194542?previous_page_section_name=1000
Gorgeous & Green Expat's House w/ Pool + Fast WiFi,Kigali,,,www.airbnb.com/rooms/51010797?previous_page_section_name=1000
Eagle View Lodge - Honeymoon Suite,Kigali,23.0,4.91,www.airbnb.com/rooms/47112851?previous_page_section_name=1000
LOFT 647: Brand new studio with large terrace (A3),Kigali,9.0,5.0,www.airbnb.com/rooms/44771178?previous_page_section_name=1000
99 Apartment (Nzovu),Kigali,,,www.airbnb.com/rooms/52996750?previous_page_section_name=1000
Elegant Isheja  Apartment in Kacyiru kigali,Kigali,39.0,4.46,www.airbnb.com/rooms/33907195?previous_page_section_name=1000
Superb View Private Apartment,Kigali,17.0,4.65,www.airbnb.com/rooms/34739010?previous_page_section_name=1000
Private little house Kigali city near downtown,Kigali,43.0,4.79,www.airbnb.com/rooms/28583001?previous_page_section_name=1000
INEZA APPARTEMENTS,Kigali,,,www.airbnb.com/rooms/52953255?previous_page_section_name=1000
Very secure and cozy apartment in Kacyiru,Kigali,40.0,4.69,www.airbnb.com/rooms/35451118?previous_page_section_name=1000
★Kimi House - Near Conv. Centre - Breakfast incl.★,Kigali,38.0,4.92,www.airbnb.com/rooms/19353710?previous_page_section_name=1000
"Judith home stay,  breakfast and Fiber internet",Kigali,57.0,4.79,www.airbnb.com/rooms/21588989?previous_page_section_name=1000
Explore Kimironko from this homely 2 b/room house,Kigali,3.0,5.0,www.airbnb.com/rooms/52594108?previous_page_section_name=1000
Golf View Suites Rwanda.,Kigali,62.0,4.61,www.airbnb.com/rooms/26044121?previous_page_section_name=1000
Kigali Golf View Apartment,Kigali,9.0,4.89,www.airbnb.com/rooms/48837750?previous_page_section_name=1000
Three Bedroom Apartment at Peponi,Kigali,63.0,4.75,www.airbnb.com/rooms/22033587?previous_page_section_name=1000
The Purple Door - a one bedroom in Kacyiru,Kigali,12.0,5.0,www.airbnb.com/rooms/28577068?previous_page_section_name=1000
Angels’ Court Apt #4 Entire 2bed apartment,Kigali,43.0,4.81,www.airbnb.com/rooms/30816783?previous_page_section_name=1000
Unique cute space near Simba Supermarket Kicukiro,Kigali,10.0,4.6,www.airbnb.com/rooms/46556178?previous_page_section_name=1000
1 Bed Apartment in Green and Safe Gisozi - V,Kigali,3.0,3.67,www.airbnb.com/rooms/51876475?previous_page_section_name=1000
Bright Gishushu House with Fantastic View- Room #2,Kigali,17.0,4.82,www.airbnb.com/rooms/41008597?previous_page_section_name=1000
"Maz Apartments-Brand New,Urban & Spacious.",Kigali,32.0,4.72,www.airbnb.com/rooms/31250641?previous_page_section_name=1000
**Kigali Apartement (near Convention Center)**,Kigali,34.0,4.65,www.airbnb.com/rooms/17468312?previous_page_section_name=1000
Eagle View Lodge - Jr. Bedroom,Kigali,5.0,5.0,www.airbnb.com/rooms/50510383?previous_page_section_name=1000
LOFT 647: Brand new studio with large terrace (A1),Kigali,4.0,5.0,www.airbnb.com/rooms/44770368?previous_page_section_name=1000
Tranquility near volcanoes and mountain gorillas,Ruhengeri,186.0,4.96,www.airbnb.com/rooms/15053850?previous_page_section_name=1000
"Hallmark Residences 3 Bedroom Villa, Kigali",Kigali,,,www.airbnb.com/rooms/52727373?previous_page_section_name=1000
Luxury stay with enjoyable hilly and mountain view,Kigali,,,www.airbnb.com/rooms/50928186?previous_page_section_name=1000
Eagle View Lodge: self contained appartment,Kigali,,,www.airbnb.com/rooms/52977343?previous_page_section_name=1000
1 Bed Apartment in Green and Safe Gisozi -VI,Kigali,3.0,4.33,www.airbnb.com/rooms/52702578?previous_page_section_name=1000
Kacyiru Nest,Kigali,5.0,5.0,www.airbnb.com/rooms/41187599?previous_page_section_name=1000
99 Apartment (Zuba),Kigali,,,www.airbnb.com/rooms/51850951?previous_page_section_name=1000
Cozy home in Kacyiru -5 mins to Convention Centre.,Kigali,3.0,5.0,www.airbnb.com/rooms/23679293?previous_page_section_name=1000
Lovely En suite Room with Beautiful Balcony View,Kigali,,,www.airbnb.com/rooms/53351747?previous_page_section_name=1000
Pazzuri Residences,Gisenyi,4.0,5.0,www.airbnb.com/rooms/51954080?previous_page_section_name=1000
A Full Two bedroom Apartment at Peponi,Kigali,30.0,4.83,www.airbnb.com/rooms/34262909?previous_page_section_name=1000
nice home with meals included for longer stays,Kigali,62.0,4.66,www.airbnb.com/rooms/18718967?previous_page_section_name=1000
Cute and Comfy apartment in Kacyiru,Kigali,4.0,4.0,www.airbnb.com/rooms/42752511?previous_page_section_name=1000
Short-term self-contained room,Kigali,,,www.airbnb.com/rooms/53285925?previous_page_section_name=1000
Cozy Tiny SQ at Gikondo,Kigali,3.0,5.0,www.airbnb.com/rooms/50631080?previous_page_section_name=1000
Angels' Court Apt #2 Entire 2bed apartment,Kigali,3.0,4.0,www.airbnb.com/rooms/38253702?previous_page_section_name=1000
"""Umufe"" Family Home - Duha Cottage on Lake Muhazi",RW,67.0,4.72,www.airbnb.com/rooms/16949426?previous_page_section_name=1000
CJ's Revival Apartment,Kigali,13.0,4.85,www.airbnb.com/rooms/40517411?previous_page_section_name=1000
Peaceful Kigali Haven - House 2,Kigali,58.0,4.84,www.airbnb.com/rooms/18250027?previous_page_section_name=1000
LOFT 647: Brand new studio with large terrace (A2),Kigali,3.0,5.0,www.airbnb.com/rooms/44771175?previous_page_section_name=1000
1 Bed Apartment in Green and Safe Gisozi - I,Kigali,,,www.airbnb.com/rooms/51841197?previous_page_section_name=1000
Budget Friendly Entire Apartment. 3.3KM to Airport,Kigali,,,www.airbnb.com/rooms/49284261?previous_page_section_name=1000
"Clean, Calm, Cozy apartment in Kacyiru",Kigali,29.0,4.72,www.airbnb.com/rooms/35253592?previous_page_section_name=1000
The Secret Jungle - a studio in Kacyiru,Kigali,20.0,5.0,www.airbnb.com/rooms/39361173?previous_page_section_name=1000
Comfy room with Pool in the Heart of Kigali,Kigali,7.0,4.57,www.airbnb.com/rooms/45555293?previous_page_section_name=1000
"Kimironko KG 39 House 17,  just 10’ to airport",RW,,,www.airbnb.com/rooms/39549917?previous_page_section_name=1000
"Luxury Cottage, Kibuye, Lake Kivu",Kibuye,6.0,5.0,www.airbnb.com/rooms/38058096?previous_page_section_name=1000
SAFE AND COZY PLACE with WiFi,Kigali,7.0,4.43,www.airbnb.com/rooms/49569550?previous_page_section_name=1000
"Home Sweet Home, Kigali -Nyamirambo",Kigali,,,www.airbnb.com/rooms/51740286?previous_page_section_name=1000
Beautiful place in Kigali with amazing view,Kigali,,,www.airbnb.com/rooms/53472381?previous_page_section_name=1000
Delightful Nest,Kigali,4.0,4.75,www.airbnb.com/rooms/41334310?previous_page_section_name=1000
Cozy 3bedroom residential home with a lush garden,Kigali,,,www.airbnb.com/rooms/52725470?previous_page_section_name=1000
Homely stylish space near Simba S.market Kicukiro,Kigali,5.0,4.8,www.airbnb.com/rooms/45631940?previous_page_section_name=1000
Executives  room - Days Inn Star,Kigali,29.0,4.86,www.airbnb.com/rooms/39247526?previous_page_section_name=1000
A beautiful private room in a cozy apartment #2,Kigali,,,www.airbnb.com/rooms/47288611?previous_page_section_name=1000
Decent Room with Pool; 5-min walk to Convention,Kigali,14.0,4.14,www.airbnb.com/rooms/37383257?previous_page_section_name=1000
Lovely two bedrooms unit with brand new furnitures,Kigali,,,www.airbnb.com/rooms/53056036?previous_page_section_name=1000
Quiet and cosy Nest near Kimironko Market,Kigali,13.0,5.0,www.airbnb.com/rooms/47353070?previous_page_section_name=1000
Classic view,Kigali,37.0,4.68,www.airbnb.com/rooms/31298571?previous_page_section_name=1000
Cozy 1 bedroom at Kagugu,Kigali,,,www.airbnb.com/rooms/52509475?previous_page_section_name=1000
LOFT 647: Brand new studio with large terrace (B1),Kigali,9.0,5.0,www.airbnb.com/rooms/44458748?previous_page_section_name=1000
En-suite room; 5-minute walk to Convention Centre,Kigali,9.0,4.67,www.airbnb.com/rooms/35771322?previous_page_section_name=1000
"A modern  & Homely CBD Suite, near Chez Lando",Kigali,,,www.airbnb.com/rooms/53175664?previous_page_section_name=1000
High Ground Villa: Murugo 3-Bedroom Apartment,Kigali,32.0,4.81,www.airbnb.com/rooms/15117316?previous_page_section_name=1000
Amazing Kiyovu compound - 2 Bedroom upper house,Kigali,25.0,4.76,www.airbnb.com/rooms/8719679?previous_page_section_name=1000
"agréable petite maison de ville, proche des commerces",Kigali,,,www.airbnb.com/rooms/52129615?previous_page_section_name=1000
Beautiful Room in Kimihurura. Great shared areas!,Kigali,6.0,5.0,www.airbnb.com/rooms/47862803?previous_page_section_name=1000
residential home with garden seating,Kigali,,,www.airbnb.com/rooms/53250281?previous_page_section_name=1000
Fleur Guest Room  #1,Kigali,106.0,4.92,www.airbnb.com/rooms/20701099?previous_page_section_name=1000
"Spa Shallum, Karongi
Deluxe Double",Karongi,9.0,5.0,www.airbnb.com/rooms/43583183?previous_page_section_name=1000
Beautiful home apartment away from Home,Kigali,27.0,4.78,www.airbnb.com/rooms/32895857?previous_page_section_name=1000
Afro-European Chic Bungalow (self contained),Kigali,60.0,4.61,www.airbnb.com/rooms/16691315?previous_page_section_name=1000
La Roche Kibuye Entire House by Lake Kivu,Kibuye,22.0,4.48,www.airbnb.com/rooms/32005068?previous_page_section_name=1000
Charming house in the heart of the city.,Kigali,18.0,4.94,www.airbnb.com/rooms/17568948?previous_page_section_name=1000
"""Umuko"" Cottage on the shores of Lake Muhazi",Kabare,4.0,4.25,www.airbnb.com/rooms/42923052?previous_page_section_name=1000
A beautiful private room in a cozy apartment #1,Kigali,,,www.airbnb.com/rooms/51915435?previous_page_section_name=1000
Residential House with 3 bedroom 2 bathroom,Kigali,,,www.airbnb.com/rooms/53045792?previous_page_section_name=1000
Cabiada Guest House,Kigali,,,www.airbnb.com/rooms/49830750?previous_page_section_name=1000
C'Eil Kigali,Kigali,,,www.airbnb.com/rooms/51237977?previous_page_section_name=1000
"2D-Nest - Cosy, Serene, perfect view from the hill",Kigali,3.0,5.0,www.airbnb.com/rooms/49498350?previous_page_section_name=1000
Karibu Iwacu : Welcome / Bienvenue chez nous,Kigali,,,www.airbnb.com/rooms/41194481?previous_page_section_name=1000
En-suite room with Pool; 5-min walk to Convention,Kigali,15.0,4.4,www.airbnb.com/rooms/35620203?previous_page_section_name=1000
"BEAUTIFUL STUDIO IN KIGALI, GIKONDO, amazing view",Kigali,31.0,4.74,www.airbnb.com/rooms/14863290?previous_page_section_name=1000
"This is appartement 6,one of INEZA Appartements houses.",Kigali,,,www.airbnb.com/rooms/53042461?previous_page_section_name=1000
Private House near Kigali Convention Center,Kigali,3.0,4.33,www.airbnb.com/rooms/51241036?previous_page_section_name=1000
BADRAAN APARTMENT,Kigali,6.0,4.83,www.airbnb.com/rooms/48779036?previous_page_section_name=1000
Spacious entire 3 Bedroom home near Kigali Airport,Kigali,13.0,4.92,www.airbnb.com/rooms/33954838?previous_page_section_name=1000
3 Bed Apartment in the Green and Safe Gisozi - III,Kigali,,,www.airbnb.com/rooms/52703085?previous_page_section_name=1000
The Art House: A designer's private bungalow,Kigali,6.0,5.0,www.airbnb.com/rooms/47862277?previous_page_section_name=1000
"Batik Chambre d'hôte 1lit double, lit bébé",City,4.0,4.75,www.airbnb.com/rooms/33987056?previous_page_section_name=1000
Serenity Private Apartment,Kigali,3.0,4.33,www.airbnb.com/rooms/41603508?previous_page_section_name=1000
Umubyeyi Residence I,Kigali,6.0,4.83,www.airbnb.com/rooms/32830746?previous_page_section_name=1000
àtico blanco/WSA,Kigali,,,www.airbnb.com/rooms/50465471?previous_page_section_name=1000
Ebony Apartment BGL2,Kigali,,,www.airbnb.com/rooms/53229189?previous_page_section_name=1000
Convivial 4 bedrooms apart w/brand new furnitures,Kigali,,,www.airbnb.com/rooms/52653472?previous_page_section_name=1000
San Pedro Apartment n°2,Kigali,5.0,5.0,www.airbnb.com/rooms/46615300?previous_page_section_name=1000
Cute mini house with private garden,Kigali,67.0,4.82,www.airbnb.com/rooms/18664421?previous_page_section_name=1000
Two Bedroom Apartment at Peponi,Kigali,57.0,4.82,www.airbnb.com/rooms/24407443?previous_page_section_name=1000
Hobe Apartment by Mountain View,Kigali,14.0,4.64,www.airbnb.com/rooms/43421002?previous_page_section_name=1000
"kabeza cozy apartment, a home away from home!",Kigali,5.0,4.4,www.airbnb.com/rooms/41093205?previous_page_section_name=1000
Bright & Comfortable Kagugu Apartment,Kigali,33.0,4.88,www.airbnb.com/rooms/18245444?previous_page_section_name=1000
Lovely 2-bedroom rental unit with free parking.,Kigali,,,www.airbnb.com/rooms/53176160?previous_page_section_name=1000
3 Bed Apartment in the Green and Safe Gisozi - IV,Kigali,,,www.airbnb.com/rooms/50839771?previous_page_section_name=1000
Homesweethome,Kigali,17.0,4.71,www.airbnb.com/rooms/39480776?previous_page_section_name=1000
SERENE AND COZY APARTMENT IN THE HEART OF KIGALI,Kigali,3.0,4.33,www.airbnb.com/rooms/48477572?previous_page_section_name=1000
Spacious room with lovely view of Kigali City,Kigali,,,www.airbnb.com/rooms/53086184?previous_page_section_name=1000
Duha Cottages on Lake Muhazi -  Entire property,RW,3.0,5.0,www.airbnb.com/rooms/44117723?previous_page_section_name=1000
House of Navaeh in heart of Kigali.,Kigali,5.0,4.4,www.airbnb.com/rooms/49752806?previous_page_section_name=1000
Nicely furnished 3 bedroom apartment with garden,Kigali,,,www.airbnb.com/rooms/49977901?previous_page_section_name=1000
"Maz Apartments IV-Brand New, Urban & Spacious",Kigali,12.0,4.83,www.airbnb.com/rooms/33287355?previous_page_section_name=1000
Spacious bungalow with best view of Kigali,Kigali,26.0,4.5,www.airbnb.com/rooms/14400948?previous_page_section_name=1000
Modern Guesthouse in Kigali's Vibrant Neighborhood,Kigali,4.0,4.75,www.airbnb.com/rooms/47727682?previous_page_section_name=1000
Charming Private Apartment at the heart of kigali,Kigali,10.0,4.3,www.airbnb.com/rooms/34190475?previous_page_section_name=1000
LEXOR APARTMENTS,Kigali,8.0,4.63,www.airbnb.com/rooms/22931437?previous_page_section_name=1000
A COZY ROOM NEAR THE AIRPORT,Kigali,,,www.airbnb.com/rooms/39543544?previous_page_section_name=1000
Bliss Apartment|Cozy|4G Wifi|Airport & Valley View,Kigali,30.0,4.7,www.airbnb.com/rooms/38950580?previous_page_section_name=1000
Twin and intimate room with nice balcony - view on the lake,Gitesi,,,www.airbnb.com/rooms/52616154?previous_page_section_name=1000
Judith home stay B&B fiber internet,Kigali,13.0,4.46,www.airbnb.com/rooms/35064861?previous_page_section_name=1000
Ikaze Murugo 1A,Kigali,25.0,4.96,www.airbnb.com/rooms/37315294?previous_page_section_name=1000
Kigali's hidden Gem - Amani Villa - private home,Kigali,4.0,5.0,www.airbnb.com/rooms/49288008?previous_page_section_name=1000
Home away from home- in the heart of Kigali,Kigali,41.0,4.12,www.airbnb.com/rooms/33487275?previous_page_section_name=1000
One Room Apartment at Igitego Aparthotel No 8,Kigali,,,www.airbnb.com/rooms/53472168?previous_page_section_name=1000
WILSON INN MOTEL,Kigali,,,www.airbnb.com/rooms/52653453?previous_page_section_name=1000
